id|nct_id|result_group_id|ctgov_group_code|units|scope|count
171532|NCT01349933|1467355|B1|Participants|Overall|21
171533|NCT01349920|1467360|B1|Participants|Overall|15
171534|NCT01349907|1467378|B3|Participants|Overall|321
171535|NCT01349907|1467379|B2|Participants|Overall|80
171536|NCT01349907|1467380|B1|Participants|Overall|241
171537|NCT01349829|1467417|B3|Participants|Overall|251
171538|NCT01349829|1467418|B2|Participants|Overall|125
171539|NCT01349829|1467419|B1|Participants|Overall|126
171540|NCT01349816|1467438|B1|Participants|Overall|185
171541|NCT01349803|1467500|B5|Participants|Overall|237
171542|NCT01349803|1467501|B4|Participants|Overall|59
171543|NCT01349803|1467502|B3|Participants|Overall|60
171544|NCT01349803|1467503|B2|Participants|Overall|58
171545|NCT01349803|1467504|B1|Participants|Overall|60
171546|NCT01349790|1467577|B1|Participants|Overall|40
171547|NCT01349595|1467596|B3|Participants|Overall|4
171548|NCT01349595|1467597|B2|Participants|Overall|2
171549|NCT01349595|1467598|B1|Participants|Overall|2
171550|NCT01349491|1467605|B3|Participants|Overall|10
171551|NCT01349491|1467606|B2|Participants|Overall|5
171552|NCT01349491|1467607|B1|Participants|Overall|5
171553|NCT01349465|1467614|B3|Participants|Overall|249
171554|NCT01349465|1467615|B2|Participants|Overall|49
171555|NCT01349465|1467616|B1|Participants|Overall|200
171556|NCT01349231|1467629|B1|Participants|Overall|10
171557|NCT01349192|1467636|B3|Participants|Overall|45
171558|NCT01349192|1467637|B2|Participants|Overall|21
171559|NCT01349192|1467638|B1|Participants|Overall|24
171560|NCT01349114|1467651|B3|Participants|Overall|21
171561|NCT01349114|1467652|B2|Participants|Overall|11
171562|NCT01349114|1467653|B1|Participants|Overall|10
171563|NCT01348854|1467662|B3|Participants|Overall|40
171564|NCT01348854|1467663|B2|Participants|Overall|6
171565|NCT01348854|1467664|B1|Participants|Overall|34
171566|NCT01348789|1467673|B1|Participants|Overall|37
171567|NCT01348776|1467684|B1|Participants|Overall|87
171568|NCT01348607|1467697|B4|Participants|Overall|1
171569|NCT01348607|1467698|B3|Participants|Overall|0
171570|NCT01348607|1467699|B2|Participants|Overall|0
171571|NCT01348607|1467700|B1|Participants|Overall|1
171572|NCT01348425|1467713|B3|Participants|Overall|45
171573|NCT01348425|1467714|B2|Participants|Overall|14
171574|NCT01348425|1467715|B1|Participants|Overall|31
171575|NCT01348165|1467721|B8|Participants|Overall|40
171576|NCT01348165|1467722|B7|Participants|Overall|6
171577|NCT01348165|1467723|B6|Participants|Overall|1
171578|NCT01348165|1467724|B5|Participants|Overall|6
171579|NCT01348165|1467725|B4|Participants|Overall|6
171580|NCT01348165|1467726|B3|Participants|Overall|6
171581|NCT01348165|1467727|B2|Participants|Overall|5
171582|NCT01348165|1467728|B1|Participants|Overall|10
171583|NCT01348139|1467863|B1|Participants|Overall|26
171584|NCT01348100|1467942|B8|Participants|Overall|81
171585|NCT01348100|1467943|B7|Participants|Overall|16
171586|NCT01348100|1467944|B6|Participants|Overall|16
171587|NCT01348100|1467945|B5|Participants|Overall|15
171588|NCT01348100|1467946|B4|Participants|Overall|15
171589|NCT01348100|1467947|B3|Participants|Overall|15
171590|NCT01348100|1467948|B2|Participants|Overall|2
171591|NCT01348100|1467949|B1|Participants|Overall|2
171592|NCT01348087|1468000|B1|Participants|Overall|148
171593|NCT01347931|1468014|B1|Participants|Overall|30
171594|NCT01347879|1468024|B3|Participants|Overall|153
171595|NCT01347879|1468025|B2|Participants|Overall|100
171596|NCT01347879|1468026|B1|Participants|Overall|53
171597|NCT01347840|1468059|B1|Participants|Overall|1
171598|NCT01347788|1468072|B1|Participants|Overall|34
171599|NCT01347710|1468082|B1|Participants|Overall|795
171600|NCT01347632|1468097|B1|Participants|Overall|35
171601|NCT01347580|1468101|B3|Participants|Overall|1862
171602|NCT01347580|1468102|B2|Participants|Overall|953
171603|NCT01347580|1468103|B1|Participants|Overall|909
171604|NCT01347554|1468132|B3|Participants|Overall|461
171605|NCT01347554|1468133|B2|Participants|Overall|231
171606|NCT01347554|1468134|B1|Participants|Overall|230
171607|NCT01347255|1468147|B1|Participants|Overall|24
171608|NCT01347112|1468170|B3|Participants|Overall|33
171609|NCT01347112|1468171|B2|Participants|Overall|17
171610|NCT01347112|1468172|B1|Participants|Overall|16
171611|NCT01347086|1468183|B11|Participants|Overall|56
171612|NCT01347086|1468184|B10|Participants|Overall|6
171613|NCT01347086|1468185|B9|Participants|Overall|6
171614|NCT01347086|1468186|B8|Participants|Overall|6
171615|NCT01347086|1468187|B7|Participants|Overall|6
171616|NCT01347086|1468188|B6|Participants|Overall|6
171617|NCT01347086|1468189|B5|Participants|Overall|6
171618|NCT01347086|1468190|B4|Participants|Overall|6
171619|NCT01347086|1468191|B3|Participants|Overall|6
171620|NCT01347086|1468192|B2|Participants|Overall|2
171621|NCT01347086|1468193|B1|Participants|Overall|6
171622|NCT01347073|1468301|B1|Participants|Overall|23
171623|NCT01347060|1468313|B3|Participants|Overall|17448
171624|NCT01347060|1468314|B2|Participants|Overall|7580
171625|NCT01347060|1468315|B1|Participants|Overall|9868
171626|NCT01347034|1468326|B3|Participants|Overall|20
171627|NCT01347034|1468327|B2|Participants|Overall|14
171628|NCT01347034|1468328|B1|Participants|Overall|6
171629|NCT01347008|1468337|B3|Participants|Overall|41
171630|NCT01347008|1468338|B2|Participants|Overall|20
171631|NCT01347008|1468339|B1|Participants|Overall|21
171632|NCT01346852|1468350|B3|Participants|Overall|101437
171633|NCT01346852|1468351|B2|Participants|Overall|59684
171634|NCT01346852|1468352|B1|Participants|Overall|41753
171635|NCT01346839|1468361|B3|Participants|Overall|733
171636|NCT01346839|1468362|B2|Participants|Overall|364
171637|NCT01346839|1468363|B1|Participants|Overall|369
171638|NCT01346774|1468378|B3|Participants|Overall|160
171639|NCT01346774|1468379|B2|Participants|Overall|80
171640|NCT01346774|1468380|B1|Participants|Overall|80
171641|NCT01346592|1468387|B4|Participants|Overall|6100
171642|NCT01346592|1468388|B3|Participants|Overall|1486
171643|NCT01346592|1468389|B2|Participants|Overall|1478
171644|NCT01346592|1468390|B1|Participants|Overall|3136
171645|NCT01346514|1468482|B3|Participants|Overall|181
171646|NCT01346514|1468483|B2|Participants|Overall|90
171647|NCT01346514|1468484|B1|Participants|Overall|91
171648|NCT01346501|1468503|B3|Participants|Overall|172
171649|NCT01346501|1468504|B2|Participants|Overall|93
171650|NCT01346501|1468505|B1|Participants|Overall|79
171651|NCT01346488|1468519|B1|Participants|Overall|1968
171652|NCT01346475|1468537|B3|Participants|Overall|50
171653|NCT01346475|1468538|B2|Participants|Overall|28
171654|NCT01346475|1468539|B1|Participants|Overall|22
171655|NCT01346397|1468552|B3|Participants|Overall|170
171656|NCT01346397|1468553|B2|Participants|Overall|85
171657|NCT01346397|1468554|B1|Participants|Overall|85
171658|NCT01346293|1468563|B3|Participants|Overall|3372
171659|NCT01346293|1468564|B2|Participants|Overall|629
171660|NCT01346293|1468565|B1|Participants|Overall|2743
171661|NCT01346176|1468592|B4|Participants|Overall|132
171662|NCT01346176|1468593|B3|Participants|Overall|43
171663|NCT01346176|1468594|B2|Participants|Overall|40
171664|NCT01346176|1468595|B1|Participants|Overall|49
171665|NCT01346085|1468608|B1|Participants|Overall|10
171666|NCT01346072|1468613|B3|Participants|Overall|20
171667|NCT01346072|1468614|B2|Participants|Overall|10
171668|NCT01346072|1468615|B1|Participants|Overall|10
171669|NCT01346059|1468624|B3|Participants|Overall|2
171670|NCT01346059|1468625|B2|Participants|Overall|1
171671|NCT01346059|1468626|B1|Participants|Overall|1
171672|NCT01345929|1468637|B3|Participants|Overall|1068
171673|NCT01345929|1468638|B2|Participants|Overall|535
171674|NCT01345929|1468639|B1|Participants|Overall|533
171675|NCT01345786|1468648|B5|Participants|Overall|156
171676|NCT01345786|1468649|B4|Participants|Overall|37
171677|NCT01345786|1468650|B3|Participants|Overall|37
171678|NCT01345786|1468651|B2|Participants|Overall|41
171679|NCT01345786|1468652|B1|Participants|Overall|41
171680|NCT01345721|1468701|B4|Participants|Overall|205
171681|NCT01345721|1468702|B3|Participants|Overall|65
171682|NCT01345721|1468703|B2|Participants|Overall|66
